unit_number,time_in_cycles,RUL,RUL_capped,prediction_mean,prediction_std,error,abs_error
2,30,257,125.0,124.41839,1.6402311,-0.5816116333007812,0.5816116333007812
2,31,256,125.0,123.72454,3.6735644,-1.2754592895507812,1.2754592895507812
2,32,255,125.0,124.44436,1.4991896,-0.5556411743164062,0.5556411743164062
2,33,254,125.0,121.83112,6.200719,-3.1688766479492188,3.1688766479492188
2,34,253,125.0,124.1136,1.8875314,-0.8863983154296875,0.8863983154296875
2,35,252,125.0,124.16239,2.2297382,-0.8376083374023438,0.8376083374023438
2,36,251,125.0,122.72136,5.303366,-2.2786407470703125,2.2786407470703125
2,37,250,125.0,124.31656,1.89103,-0.683441162109375,0.683441162109375
2,38,249,125.0,124.037125,2.8749187,-0.9628753662109375,0.9628753662109375
2,39,248,125.0,122.52519,5.095962,-2.4748077392578125,2.4748077392578125
2,40,247,125.0,122.48394,4.709085,-2.5160598754882812,2.5160598754882812
2,41,246,125.0,120.13791,5.8607383,-4.862091064453125,4.862091064453125
2,42,245,125.0,123.547325,3.4610972,-1.4526748657226562,1.4526748657226562
2,43,244,125.0,120.380905,6.4195085,-4.6190948486328125,4.6190948486328125
2,44,243,125.0,120.050316,6.482701,-4.949684143066406,4.949684143066406
2,45,242,125.0,121.67188,7.782592,-3.3281173706054688,3.3281173706054688
2,46,241,125.0,120.529106,6.897246,-4.470893859863281,4.470893859863281
2,47,240,125.0,123.75152,2.6387916,-1.2484817504882812,1.2484817504882812
2,48,239,125.0,122.23398,6.209547,-2.766021728515625,2.766021728515625
2,49,238,125.0,124.37326,2.1383715,-0.626739501953125,0.626739501953125
2,50,237,125.0,122.3684,4.80077,-2.6315994262695312,2.6315994262695312
2,51,236,125.0,121.14866,5.2872005,-3.8513412475585938,3.8513412475585938
2,52,235,125.0,123.17623,3.8554482,-1.8237686157226562,1.8237686157226562
2,53,234,125.0,122.43714,4.496547,-2.5628585815429688,2.5628585815429688
2,54,233,125.0,123.10818,5.1663933,-1.8918228149414062,1.8918228149414062
2,55,232,125.0,122.585205,5.4497714,-2.414794921875,2.414794921875
2,56,231,125.0,121.05885,8.266963,-3.9411468505859375,3.9411468505859375
2,57,230,125.0,123.750336,3.3506224,-1.249664306640625,1.249664306640625
2,58,229,125.0,122.74746,4.2443676,-2.2525405883789062,2.2525405883789062
2,59,228,125.0,123.930016,2.2518218,-1.0699844360351562,1.0699844360351562
2,60,227,125.0,118.879196,8.231699,-6.1208038330078125,6.1208038330078125
2,61,226,125.0,120.082535,8.840331,-4.9174652099609375,4.9174652099609375
2,62,225,125.0,121.60955,6.426863,-3.3904495239257812,3.3904495239257812
2,63,224,125.0,118.98737,7.342816,-6.012626647949219,6.012626647949219
2,64,223,125.0,119.63554,7.5464325,-5.364463806152344,5.364463806152344
2,65,222,125.0,122.79089,4.539635,-2.2091064453125,2.2091064453125
2,66,221,125.0,118.42946,6.2683616,-6.5705413818359375,6.5705413818359375
2,67,220,125.0,120.88094,5.700084,-4.119056701660156,4.119056701660156
2,68,219,125.0,119.16345,7.6160088,-5.8365478515625,5.8365478515625
2,69,218,125.0,122.10938,4.5049486,-2.8906173706054688,2.8906173706054688
2,70,217,125.0,117.59639,7.8025546,-7.4036102294921875,7.4036102294921875
2,71,216,125.0,120.88093,6.5393534,-4.119071960449219,4.119071960449219
2,72,215,125.0,118.0046,7.231771,-6.995399475097656,6.995399475097656
2,73,214,125.0,120.36892,6.122508,-4.631080627441406,4.631080627441406
2,74,213,125.0,119.49358,6.6759515,-5.506416320800781,5.506416320800781
2,75,212,125.0,122.17627,4.5168314,-2.82373046875,2.82373046875
2,76,211,125.0,119.73817,6.455701,-5.261833190917969,5.261833190917969
2,77,210,125.0,121.28037,6.015759,-3.7196273803710938,3.7196273803710938
2,78,209,125.0,122.74797,5.127975,-2.2520294189453125,2.2520294189453125
2,79,208,125.0,124.29215,3.0756426,-0.7078475952148438,0.7078475952148438
2,80,207,125.0,120.91273,6.332036,-4.087272644042969,4.087272644042969
2,81,206,125.0,124.62035,1.165638,-0.37964630126953125,0.37964630126953125
2,82,205,125.0,123.56962,3.3995063,-1.4303817749023438,1.4303817749023438
